S. No.,Dealer Name,Dealer Address,Location,State/Country,Contact Number,Contact Person,AI Dealer,API Dealer,
32,M/S ASHER AGENCIES BANGALORE,"2nd Floor, No. 24, 25, 26, 27, 28 & 29, 4th Cross, Kumbaragudi Road, New Kalasipalyam Entemsion, Bengaluru, Karnataka - 560002",Bengaluru,Karnataka,(+91)-8040915032,,TRUE,TRUE,
33,M/S GLOBAL AGENCIES,"Near Tyre Udyog, Station Road, Bijapur Old Industrial Area, Vijayapur, Karnataka-586101",Vijayapur,Karnataka,(+91)-7899732236,,TRUE,TRUE,
34,M/S NATIONAL SALES CORPORATION - ERNAKULUM,"39/2590-a, A1, A2 & A3, South Janatha Road, Indira Jn., Palarivattom, Kochi - 682025",Ernakulam,Kerala,(+91)-9447761187,,TRUE,TRUE,
35,M/S NATIONAL SALES CORPORATION-CALICUT,"5/847 G, Yesso Complex, S Nagar Road, Erangipalam Kozhikode, Calicut-673006",Calicut,Kerala,(+91)-9447761187,,TRUE,TRUE,
36,M/S HINDUSTAN AUTO DISTRIBUTORS,"KK-246, 6/277B, 6/277C, 6/277D, Thane-Kakkad Road, Neae Korjan School, Kannur, Kerala - 670002",Kannur,Kerala,(+91)-9061343555,,TRUE,TRUE,
37,M/S CARSIL AUTOMOTIVE,"Floor No. 1, Flat No. H-7, Old Subhash Nagar, Bhopal, Madhya Pradesh - 462023",Bhopal,Madhya Pradesh,(+91)-9977333399,,TRUE,TRUE,
38,M/S JAS ENTERPRISES,"Shop No.24, Koushaliya Plaza, Madan Mahal, Nagpur Road, Jabalpur, Madhya Pradesh - 482001",Jabalpur,Madhya Pradesh,(+91)-9425803469,,FALSE,TRUE,
39,M/S CENTRAL MOTOR NAGPUR PVT LTD.,"Near Khurana Travels, Dattawadi, Wadi, Nagpur - 440023",Nagpur,Maharashtra,(+91)-9372333777,,TRUE,FALSE,
40,M/S NITIN MOTORS,"B-10 , Girgaun Terrace , 41, Dr D.D.Sathe Marg, Benhan Hall Lane, Opera House, Mumbai - 400004",Mumbai,Maharashtra,(+91)-9821050887,,TRUE,FALSE,
41,M/S SHRI JHULELAL AUTO CENTRE,"Shop No 43, 44 Suresh Jain Complex, Ajanta Road, Jalgaon - 425003",Jalgaon,Maharashtra,(+91)-9545461811,,TRUE,FALSE,
42,M/S GEMS MOTOR CO.,"Plot No. 165/3/6, T-block M.I.D.C, Bhosari, Pune - 411026",Pune,Maharashtra,(+91)-9823264116,,TRUE,TRUE,
43,M/S SHRI SHYAM LIGHTS,"Plot No. 957-A, Behind Shyam Arcade, Juni Mangalwari, Nagpur - 440008",Nagpur,Maharashtra,(+91)-9372398042,,FALSE,TRUE,
44,M/S GMC MARKETING - AHMEDNAGAR,"Shop No.1, Servy No.6999/3, Plot No.13 Ashirwad Building, Ground Floor, Near SBI ATM Laltaki Sarjepura, Ahmednagar - 414001",Ahmednagar,Maharashtra,(+91)-7767944116,,TRUE,TRUE,
45,M/S GMC MARKETING - KOLHAPUR,"Shop No. 2, House No. 4510, Khavare Complex, Near Ganapati Temple, P. B. Road Shiroli, Kolhapur - 416122",Kolhapur,Maharashtra,(+91)-8329163342,,TRUE,TRUE,
46,M/S GMC MARKETING - SOLAPUR,"Shop No. 7,8,9, Survery No. 174/2, Kumbhar Ves, Bhawani Peth, Solapur - 413002",Solapur,Maharashtra,(+91)-9923004116,,TRUE,TRUE,
47,M/S THAKKAR AUTO ENTERPRISE,"D1, Globe Complex, Opp. Jio-BP Petrol Pump, Dapode, Bhiwandi - 421302",Bhiwandi,Maharashtra,(+91)-9820271930,,FALSE,TRUE,
48,M/S NEW BAJRANG SALES CORPORATION,"Bajaria Santra Market Road, Opposite Shiv Hare Medical Store, Bajaria Telipura, Nagpur - 440018",Nagpur,Maharashtra,(+91)-7758035141,,FALSE,TRUE,
